Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,003",13706,                                                            ,EM.00.030,14 Hekur Periodik,"5,200",KG,VAM TRADE SHPK,25/04/2023
"5,998",13708,                                                            ,DM.00.010,8 Hekur Periodik,"8,300",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"5,998",13708,                                                            ,DM.00.015,9 Hekur Periodik,"18,360",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,001",13709,                                                            ,DM.00.010,8 Hekur Periodik,200,KG,GJOKA-AL NDERTIM,25/04/2023
"6,001",13709,                                                            ,DM.00.010,8 Hekur Periodik,"9,880",KG,GJOKA-AL NDERTIM,25/04/2023
"6,001",13709,                                                            ,DM.00.020,10 Hekur Periodik,"6,300",KG,GJOKA-AL NDERTIM,25/04/2023
"6,001",13709,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,GJOKA-AL NDERTIM,25/04/2023
"6,001",13709,                                                            ,EM.00.035,16 Hekur Periodik,"5,200",KG,GJOKA-AL NDERTIM,25/04/2023
"6,002",13712,                                                            ,DM.00.010,8 Hekur Periodik,"2,000",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,002",13712,                                                            ,DM.00.015,9 Hekur Periodik,"10,200",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,002",13712,                                                            ,DM.00.025,12 Hekur Periodik,"7,040",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,002",13712,                                                            ,DM.00.030,14 Hekur Periodik,"4,100",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,002",13712,                                                            ,DM.00.035,16 Hekur Periodik,"2,000",KG,SHPK NDERIMI(KOSOVA),25/04/2023
"6,008",13720,                                                            ,DM.00.010,8 Hekur Periodik,"32,980",KG,ERMIR SHPK (H.DEDA),25/04/2023
"6,007",13721,                                                            ,DM.00.015,9 Hekur Periodik,"20,340",KG,SHIJAKU SHPK (SHSH),25/04/2023
